State/Region Pcode,State/Region Name,District Pcode,District Name,Township Pcode,Township Name,Total population Both sexes,Urban population Both sexes,Rural population Both sexes,Urban population (%),% rural,0 - 14,% 0 - 14,10 - 17,5 -  29 years school/college attendanceCurrently attending,% currently attending school/college,Total,Employee (government),Employee (private),Employer,Own account worker,Household worker,% 10yr and older in paid employment,Conventional households,Institutions,% in institutions,Mean household size,percentile mean household,Total,Apartment/ Condominium,Bungalow/ Brick house,Semi0pacca house,% HQ housing,Wooden house,Bamboo,Hut 2 - 3 years,Hut 1 year,Other,% LQ housing,Safe sanitation (%),% households with access to safe sanitation,Total,Dhani/Theke/ In leaf,Bamboo,Wood,Corrugated sheet,Tile/Brick/ Concrete,Other,Total,Dhani/Theke/ In leaf,Bamboo,Earth,Wood,Corrugated sheet,Tile/Brick/ Concrete,Other,Total,Bamboo,Earth,Wood,Tile/Brick/ Concrete,Other,Total,Electricity,Kerosene,Candle,Battery,Generator (private),Water mill (private),Solar system/energy,Other,% households w/ electricity as source,% households w/ solar systems as source,% households w/ relatively efficient sources of lighting,% households w/ relatively poor sources of lighting,Total,Electricity,LPG,Kerosene,BioGas,Firewood,Charcoal,Coal,Straw/Grass,Other,% cooking fuel electricity,% cooking fuel that costs natural resources,% cooking fuel that is fuel-based and requires transport,Conventional households,Radio,Television,Land line phone,Mobile phone,Computer,Internet at home,% availability to TV,% availibility to mobile phone,% availiability to radio,% availiability to computer,% availiability to Internet,Conventional households,Car/Truck/ Van,Motorcycle/ Moped,Bicycle,40Wheel tractor,Canoe/Boat,Motor boat,Cart (bullock),% availiability to car/truck/van,% availability to 40wheel tractor,% availibility to motor boat
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,"317,604","246,506","71,098",77.6,0.22,"94,642",0.30,"55,781","70,503",0.22,"257,901","13,671","36,552","4,132","52,412","49,403",0.61,"283,865","33,739",0.11,5.4,0.78,"  52,591 ","  2,715 ","  7,169 ","  6,469 ",0.31,"  16,707 ","  18,634 ",  282 ,  125 ,  490 ,0.69,83.6,0.84,"52,591","5,698",182,68,"46,252",248,143,"52,591",236,"32,761",27,"5,109",133,"14,123",202,"  52,591 ","  9,382 ","  4,712 ","  19,013 ","  19,016 ",  468 ,"52,591","26,777",102,"11,498","2,020","3,591","2,220","6,041",342,0.5091555589,0.1148675629,0.1489038048,0.2270730733,"52,591","3,682",65,2,154,"27,740","20,285",288,18,357,0.07001197924,0.9189975471,0.004202239927,"52,591","28,403","35,801","4,499","28,739","4,041","6,078",0.68,0.55,0.54,0.08,0.12,"52,591","3,180","40,715","23,313",1057,1218,667,"6,994",0.06,0.02,0.77
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,"125,544","26,656","98,888",21.2,0.79,"43,700",0.35,"22,842","30,757",0.24,"96,930",2154,"9,155",1181,"26,042","16,566",0.57,"118,747","6,797",0.05,5.2,0.75,"  22,860 ",  340 ,"  1,584 ","  2,022 ",0.17,"  4,415 ","  13,977 ",  216 ,  149 ,  157 ,0.83,81.1,0.81,"22,860","6,929",74,11,"14,530",293,1023,"22,860",194,"16,932",31,"2,054",48,"3,332",269,"  22,860 ","  9,637 ","  4,144 ","  4,823 ","  3,806 ",  450 ,"22,860","2,728",128,"9,604",739,"1,426","2,580","5,506",149,0.1193350831,0.2408573928,0.207567804,0.43223972,"22,860",446,4,5,45,"20,763","1,473",88,3,33,0.01951006124,0.9766841645,0.002362204724,"22,860","10,051","10,541","1,416","5,880",474,525,0.46,0.26,0.44,0.02,0.02,"22,860",545,"14,414","6,696",632,337,236,"6,171",0.02,0.03,0.63
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,"1,732",445,"1,287",25.7,0.74,609,0.35,299,345,0.20,1322,80,217,33,305,50,0.52,"1,420",312,0.18,5.0,0.72,  285 ,  3 ,  -   ,  4 ,0.02,  15 ,  258 ,  4 ,  1 ,  -   ,0.98,45.6,0.46,285,243,0,0,37,1,4,285,1,274,0,7,0,3,0,  285 ,  252 ,  8 ,  12 ,  13 ,  -   ,285,47,1,164,1,4,3,64,1,0.1649122807,0.2245614035,0.02807017544,0.5824561404,285,0,0,0,0,281,4,0,0,0,0,1,0,285,115,58,5,22,3,1,0.20,0.08,0.40,0.01,0.00,285,1,105,3,1,3,4,74,0.00,0.00,0.37
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,"60,019","37,415","22,604",62.3,0.38,"19,303",0.32,"9,294","11,308",0.19,"46,706",1423,5126,882,"16,375","7,057",0.66,"48,781","11,238",0.19,5.7,0.82,"  8,528 ",  317 ,  233 ,  395 ,0.11,"  2,725 ","  4,618 ",  191 ,  34 ,  15 ,0.89,87.8,0.88,"8,528","3,080",29,13,"4,529",9,868,"8,528",46,"6,390",7,1173,16,817,79,"  8,528 ","  3,970 ",  120 ,"  3,604 ",  787 ,  47 ,"8,528","1,397",29,"3,487",467,"1,480",33,"1,615",20,0.1638133208,0.1893761726,0.2321763602,0.4146341463,"8,528",19,1,0,3,"7,627",840,29,0,9,0.002227954972,0.9962476548,0.000469043152,"8,528","3,516","4,406",444,"2,556",176,409,0.52,0.30,0.41,0.02,0.05,"8,528",147,"5,309","2,397",132,318,595,"1,686",0.02,0.02,0.62
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,"20,039","2,790","17,249",13.9,0.86,"8,289",0.41,"4,147","3,965",0.20,"14,551",957,604,141,3786,"2,194",0.53,"19,170",869,0.04,5.8,0.83,"  3,306 ",  109 ,  63 ,  90 ,0.08,"  2,318 ",  708 ,  15 ,  1 ,  2 ,0.92,41.7,0.42,"3,306",578,49,7,1366,1258,48,"3,306",12,874,10,"2,165",8,236,1,"  3,306 ",  559 ,  212 ,"  2,079 ",  442 ,  14 ,"3,306",1117,4,1261,6,8,653,8,249,0.3378705384,0.00241984271,0.201754386,0.4579552329,"3,306",121,1,0,10,"3,137",30,1,0,6,0.03660012099,0.9582577132,0.003327283727,"3,306",709,1431,64,811,58,10,0.43,0.25,0.21,0.02,0.00,"3,306",225,"1,737",49,53,3,2,131,0.07,0.02,0.53
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,"6,518",368,"6,150",5.6,0.94,"2,835",0.43,"1,309","1,537",0.24,"4,584",120,102,15,1556,438,0.49,"6,499",19,0.00,6.1,0.87,"  1,073 ",  2 ,  1 ,  1 ,0.00,  561 ,  481 ,  1 ,  -   ,  26 ,1.00,24.3,0.24,"1,073",494,71,81,319,76,32,"1,073",3,545,2,516,3,2,2,"  1,073 ",  562 ,  10 ,  482 ,  10 ,  9 ,"1,073",152,8,232,2,32,531,11,105,0.1416589003,0.01025163094,0.5265610438,0.321528425,"1,073",3,0,1,0,"1,067",2,0,0,0,0.002795899348,0.9962721342,0.0009319664492,"1,073",390,253,2,34,8,1,0.24,0.03,0.36,0.01,0.00,"1,073",5,494,11,7,0,0,481,0.00,0.01,0.46
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,"209,292","56,642","152,650",27.1,0.73,"65,589",0.31,"37,756","47,531",0.23,"168,390","6,188","19,884",3619,"39,509","31,151",0.60,"195,143","14,149",0.07,4.9,0.71,"  39,622 ",  842 ,"  2,460 ","  2,645 ",0.15,"  18,143 ","  14,978 ",  299 ,  78 ,  177 ,0.85,94.2,0.94,"39,622","9,740",60,33,"29,292",136,361,"39,622",151,"25,790",35,"8,652",48,"4,829",117,"  39,622 ","  7,412 ","  1,138 ","  26,310 ","  4,541 ",  221 ,"39,622","11,877",155,"10,618","1,998","5,662",668,"8,330",314,0.2997577104,0.2102367372,0.2101862602,0.2798192923,"39,622","1,919",4,5,13,"31,885","5,239",166,4,387,0.04843268891,0.941244763,0.000555247085,"39,622","20,119","26,357","2,485","15,827",1030,"1,476",0.67,0.40,0.51,0.03,0.04,"39,622",984,"28,691","23,027","2,797",625,357,"15,459",0.02,0.07,0.72
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,"132,608","25,012","107,596",18.9,0.81,"43,488",0.33,"23,947","31,468",0.24,"105,015","4,247","10,447",2075,"25,121","22,035",0.61,"126,795","5,813",0.04,5.1,0.73,"  24,898 ",  686 ,"  1,675 ","  1,743 ",0.16,"  10,308 ","  10,234 ",  107 ,  37 ,  108 ,0.84,92.0,0.92,"24,898","8,324",28,14,"16,398",65,69,"24,898",107,"17,809",7,"3,606",33,"3,322",14,"  24,898 ","  8,900 ",  494 ,"  12,910 ","  2,460 ",  134 ,"24,898","10,817",33,"7,050",519,"2,600",418,"3,361",100,0.4344525665,0.1349907623,0.1420596032,0.288497068,"24,898","2,015",5,1,15,"20,325","2,326",91,1,119,0.0809301952,0.9134468632,0.0008434412403,"24,898","10,177","15,893","1,814","9,016",594,999,0.64,0.36,0.41,0.02,0.04,"24,898",618,"16,992","14,340","1,454",416,206,"9,985",0.02,0.06,0.68
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,"331,708","65,857","265,851",19.9,0.80,"70,468",0.21,"39,916","34,781",0.10,"283,658","2,657","90,379","7,884","79,339","41,282",0.78,"169,498","162,210",0.49,4.6,0.66,"  36,632 ",  207 ,  501 ,"  1,339 ",0.06,"  19,486 ","  13,817 ",  461 ,  146 ,  675 ,0.94,86.4,0.86,"36,632","6,859",35,48,"29,135",34,521,"36,632",216,"23,637",34,"10,079",356,"1,626",684,"  36,632 ","  5,735 ",  661 ,"  27,664 ","  2,238 ",  334 ,"36,632","5,346",60,"7,530",1129,"16,254",532,"5,567",214,0.1459379777,0.1519709544,0.4890532867,0.2130377812,"36,632",275,6,2,19,"15,624","20,294",310,1,101,0.00750709762,0.9889986897,0.0007370604936,"36,632","11,684","24,427","2,567","16,787",1009,733,0.67,0.46,0.32,0.03,0.02,"36,632","2,450","27,472","2,510",560,268,199,"3,427",0.07,0.02,0.75
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,"135,877","58,696","77,181",43.2,0.57,"41,357",0.30,"22,935","26,201",0.19,"109,372","5,195","11,754",1461,"31,643","15,415",0.60,"118,313","17,564",0.13,4.9,0.70,"  24,161 ",  906 ,"  1,754 ","  2,044 ",0.19,"  10,263 ","  8,801 ",  186 ,  59 ,  148 ,0.81,90.3,0.90,"24,161","4,725",40,18,"19,217",126,35,"24,161",98,"14,241",17,"5,919",43,"3,776",67,"  24,161 ","  3,788 ","  1,915 ","  13,865 ","  4,438 ",  155 ,"24,161","9,917",71,"8,280",595,"1,008",40,"4,183",67,0.4104548653,0.1731302512,0.06800215223,0.3484127313,"24,161","3,788",7,0,8,"16,718","3,501",62,0,77,0.1567815902,0.8394106204,0.0006208352303,"24,161","12,417","16,793","1,372","9,820","1,012","1,198",0.70,0.41,0.51,0.04,0.05,"24,161","1,052","18,593","9,234","2,630","3,529","2,265","5,974",0.04,0.11,0.77
